roomId,8253,,,,
id,userId,logId,chunkId,time,transcriptText
0,24275,6415362,0,"""4:56""",と後悔すると何ですかプライベートメンバー専用スペースとで意味合いが変わってくると思います公開スペースでは岩場のクリエイターはちょっと傍観者に近いのかなと思いますがメンバー専用スペースですとやはりちょっとクリエイターにも関係性があると思うのでそのそこでクリエイターにも非がある場合に措置を講じるべきだと私は思います
1,23795,6416229,0,"""5:33""",はいえーと私も見てるんですけれどもクリエイターはやはりどちらの後悔でもぷりメンバー専用でもですねその辺の責任はあると思うので処置を講じるべきだと思ってますただやはり公開スペースとメンバー専用スペースであるあの程度の違いがあると思うのでその辺のレベルの差っていうのはちょっと考えるべきなんだかな時に送って
2,24203,6417371,0,"""6:06""",いじめとかいう話の内容次第だと思うんですけども今特定のメンバーがですね嫌がると繰り返してるんであればそのメンバー排除することによってそのいじめやがねそのスペース治るんがあれば別にくれたりなんか措置を講ずる必要ないのかなと逆にいつも嫌がらせやいじめをする人間がですねおなってんすかねすごく大勢次から次へと生じるということは何らかのスペースの運営に問題があるということになると思うんでそういう時に初めてクリエイターに措置を講ずるという風の二段階のがいいのかなと思うんですけどね全て翁長クリエイターになる
3,24134,6419032,0,"""6:51""",私も今あの直前でお話しされてた方と同じように今クリエイターに対してそっちがちょっと厳しすぎたりするとクリエイターの創るものというものがちょっとこう阻害されてしまうのかなと思うのでそのいじめとか嫌がらせに関しては何らかその所有者が措置を講ずると思うのでまたのクリエイターにはもちろんねそのそういったことが起きましたよっていうことは必要かなと思うんですけどそこまでその厳しい措置は必要ないんじゃないかなあと思います
4,24009,6420590,0,"""7:32""",店と私も先ほどのえっと57363でしたの意見に近いですねあの公開であれ専用である程度の責任は負うべきではないかと思うんですけれどもやっぱりいじめの内容いじめ五十嵐嫌がらせの内容とかその頻度とかそれによって変わった写真の撮り方っていうのは変わってくるような気がしますではそういういじめをする人を排除するそれが一番いいと思うけどそれもそういう環境を作ったクリエイターの責任がどの程度なのかって
5,24222,6422338,0,"""8:17""",はいえっと私はですね公開スペースとメンバー専用スペースでいつづけが異なると思うんですけれども少なくともメンバー専用スプレー手について全体の中で1 M 日にちがあまりにも高いところについてはクリエイターにもですねいってらっしゃい気になるのかなと思っております
6,24354,6423147,0,"""8:39""",はい私は基本的にはプラットフォーム所有者に責任があると思っておりましてまぁそのケースバイケースだとは思うんですけどおクリエイターがクリエイターに責任があるようなそういう性質の場合はプラットフォーム所有者からクリエイターに何らかの措置が必要なんではないかなと思います
7,24077,6424133,0,"""9:06""",はいえーと私の場合もやはりその後悔スペースの場合はですね大ブスのクリエイターに対する措置岩間ゆるくていいと思うんですがまだメンバー専用になってくるとかなりこれ責任のクリエイターの責任の度合いも重くなってくるのかなって思っていますでもあの一つやっぱりあるのがその単独でやっぱりそのいじめが発生したものなのかそれともずっと繰り返し長期にわたって行われているのかっていうものに対してもやっぱ意味合いがだいぶ違うと思うやっぱ長期になった場合はですねまあそのプラットフォーム棒
7,24077,6424133,1,"""9:06""",クリエイターも両方やっぱ責任がかなり重要になってくるかなと思います。以上です。
8,23813,6425833,0,"""9:51""",私もあの程度によると思います何度も何度も繰り返されるような場合にはそのスペースにいろいろ問題があると思いますのでクリエイターに対する措置が必要だと思いますが
8,23813,6425833,1,"""9:51""",一度例えば怒った時にそれに対してクリエイターが何らかの処置をするのであればクリエイターまで責任を負わせる必要はないのではないかと思いますねいじめなどをしているユーザーなどに対する厳しい措置が必要かと思います
9,23795,6432347,0,"""12:30""",はいえーとこれのもの先ほどのテーマの時もですね思ったんですがそちらの程度レベルがですねについてだと思うんですがこれもあのあのレベルによってはりあの
9,23795,6432347,1,"""12:30""",色々あの警告をしてもなかなかそれに対して動かないクリエイターについてはだんだんやはりあの厳しい措置をするべきだと思うんですけれどもそれやっぱレベルによって変えていくべきなんじゃないかなと思ってます
10,24009,6433702,0,"""13:05""",いじめが繰り返し停止されているスペースに新たなメンバーを入れるというのはもうちょっとあのそこでモデルによるんですけれどもどうなのかなと思いますあなたのスペースを作るの禁止するっていう形とそこまでしなくてもいいのではないかともしかしたら違うシステムのあのいじめが発生しないようなスペースをもしかしたら作れるのかもしれないしなんだかの学習をしていただくというのもあの
11,24222,6435715,0,"""13:50""",私はですねまずは新たなスペースを獲得する権利についてはですね第一段階としていじめや嫌がらせが繰り返されるところのクレーターにはですねそういうものが仕事だってこと具体的最初に基準を設けて提示して収益についてはですね権利もあると思いますのでそこまでそういうところはどうかなと思っております
12,24134,6436876,0,"""14:19""",エイトマン制限の種類としてその収益収益化させないとかその新たなスペースを作らせないとかあると思うんですけどそれは制限のまあそのカードとしてはあってはいいかなと思いますただそのすぐそれをカードを切るというわけではなくて破損段階的にあの使うべきものかなあと思いますやっぱりそのクリエイターがまあその自分のペースで出来る事って結構多いと思うのでそういった制限がないとクリエイターの方もまさの嫌がらせとかの防止に努めないかなと思いますのでそれた形がいいかなと思い
13,24077,6438825,0,"""15:04""",はいあのクリエイターが回ったらしいスペースを作るのは禁止するっていうところまでちょっとやりすぎなのかなという風に思ってましてただその収益の話がちょっとあればその収益をもらってですね実際やるとなったらまたちょっと話は変わってくると思いますば収益をもらってですねそのあの自分のマーのスペースをそこを作成するってはやっぱりそのオマージュとして今研修とか受講したりしてまレベルアップやっぱり計って言ってそれでもあのやっぱりちゃんまーちゃんとした物って言うかですねやっぱりそのいじめが起きないような環境のものに近いものですねやっぱ作っていくべきかなというふうには思います以上です
14,24354,6440573,0,"""15:47""",私は程度の問題かなと思っておりましてなんだ対応しないクリエイターについては徐々に段階的に罰を厳しくして行ってもいいのではないかなと思っていますて最終的にはやはり収益性のところを奪ってしまったりまあ最悪そのスペースを作れないようなそういった子バツではないですけどそういった答え言うのも場合によっては必要になってくるのではないかと思います
15,24203,6441829,0,"""16:20""",松葉です繰り返し起こるんであれば学習してもらってですね研修を受けてもらうのが最初かなと思いますねそれでもですね全然治らなくてで降りたら一生懸命ですの覚めるように防止するの努力してるんであればですねまああまり厳しい措置は必要ないと思いますけども誰でも何らかのその上に問題があるんであればですね新しい人を出すないってみてメンバーを入れたりとか新しいスペースを作成するの禁止するのはありかなと思いますまあの趣味だけ連絡するとの最終手段の厳しい処分だと思います
16,24275,6443449,0,"""16:59""",私は基本的にあのそういうそっちを取れそういう責任を負うのはプラットフォームの所有者だと思っていますのでそこまであのクリエイターに責任を負わせるのはあの先ほど会社にありましたよね新たな表現方法をつぶすことだと思いますただ条件があってそのクリエイター自身が当事者の場合だったりあの通告してもなかなか改善しようとしない場合ははそこまで厳しくはないとバツ7の処罰は必要かなと思う思います
17,24275,6449538,0,"""19:14""",えーと私はあのその洗ってのスペースに入るメンバーに対してここでいじめや嫌がらせがあったことをお知らせしてそれでいいとは思いますメンバーあのそこのスペースに入るか入らないかはメンバー自身が判断すればいいことだと思います
18,24203,6450788,0,"""19:43""",よく家のこの質問の意図が遠いがよくわかんないなと思うんですけどメンバーにそのメンバー専用スペースでメンバーに牛乳を発見して良くするとメンバーズ嫌がらせのような気もしますし一般の人はそのメンバースペースに入れないので別にも見つからなくても問題ないと思いますし仲良くちょっとわからないなという感じの印象です
19,23795,6451802,0,"""20:10""",えーと私もちょっと分かりづらいところあると思うんですがやはり悪質あまりにも悪質な事柄を怒るようなスペースがあればですねこれはもう削除すべきなのかなという風に思いますでは軽微なことであれば例えばその表示されてなあたら新たなメンバーをが参加しづらくするという意味合いなのかなというふうに考えているんですけどそういう方法もあるかなと思いますが基本的にそういうスペースというのはちょっとあんまりよろしくないなあと思うのでもっと違った方法で講じるべきかなと思う
20,24077,6453504,0,"""20:55""",ガイアの私もこれすごいいいとか分かりにくかったんですけどまぁ三つの中で言うなしいて言うならば一般の人が子を見えなくするよう見えないようにするっていうやつかなとちょっと思ったんですけどまあそのその時点でまあのいじめとかいうのがやっぱりまだわかってないことが多いと思うんですねそん中でやっぱりこう一般の人にちょっと見れるようにするのはどうかなと思ってます個あるけどその親指姫ケースや実績が出てきた時んですね窓でこのもう本当に誰にもわからないような形で無作為にちょっとこうこんな事例がありましたんで気をつけましょう床にしてちょっと報告するのもだったらありなんかなとちょっと思いました以上です
