roomId,5459,,,,
id,userId,logId,chunkId,time,transcriptText
0,17493,4297548,0,"""3:32""",
0,17493,4297548,1,"""3:32""","I,"
0,17493,4297548,2,"""3:32""",I'm blessing from New York.
0,17493,4297548,3,"""3:32""",Good evening.
1,17587,4297890,0,"""4:01""",Hi. I'm Nick from the u p of Michigan and we are in the middle of a snowstorm.
2,17491,4307816,0,"""11:03""","Well, I can start if you want to or things I don't know about I don't know anything about the these computer things. That's probably why I've been chosen and I'm a french guy so you have to excuse my English or my French whatever. So as far as I can think it's that it should be at least two people who wants to share that not in the public places."
2,17491,4307816,1,"""11:03"""," Has its against the Privacy. I think if that's that's go public, that's it."
3,17663,4309128,0,"""11:54""",
3,17663,4309128,1,"""11:54""","Just a counter that I'm from America, just for clarity but I think that monitoring should occur in public spaces in the matter versus just because it's the same way we do it in real life. You know I've been in a lot of car accidents right next to stores and it was nice to have the monitoring their I know it's not the same thing as bullying but just as an example of how monitoring the cameras is useful in real life. Could also have benefits in the meadow verse. I don't have any"
3,17663,4309128,2,"""11:54""",Option of joining the matter verse. So maybe my opinion doesn't matter as much but just want to put my two cents.
4,17738,4310066,0,"""12:31""","Yeah, I kind of agree with that. I don't really care about the better Versed and don't plan on joining it either. But I do see like, I don't know, I don't think it's a big deal to have the cameras on, they're everywhere, they're in stores, you know, they're all over the place in public spaces. So why wouldn't it be in public spaces on the net averse to? It just seems normal."
4,17738,4310066,1,"""12:31""",
5,17568,4310901,0,"""13:02""","I also agree. I think the it should definitely be turned on because basically how it is. Now you kind of forget that the cameras are even there. It is only useful when there's a situation does come up and you really need to rely on the camera footage. So I think it is beneficial to have the the cap, the surveillance turned on"
6,17585,4311688,0,"""13:32""","You know, as you all were talking, I was reminded, you know, there's surveillance on the ring doorbells that everybody has installed on their doors right at their front doors. I-i'm on the app next door. And people are often using that video footage to help identify, and to contact the police about, you know, who was trying to break into my car. And so, I can, I"
6,17585,4311688,1,"""13:32"""," Can also see the value in it in preventing or identifying some of these instances because we do use it, you know, when you walk in your neighborhood and you don't know whose ring doorbell video, you're going to be on."
7,17585,4312913,0,"""14:21""",
8,17663,4313062,0,"""14:25""","Sorry, I'm really curious if anyone in the group opposes that if and if there's anyone who's willing to share that, they don't want surveillance and public spaces. Like the first person, we're open to discussing"
